"Date";"Designation";"Day of the week";"Calendar week";
"01.01.2019";"New Year큦 Day";"Tue";"week 01"
"02.01.2019";"New Year큦 Day";"Wed";"week 01"
"24.01.2019";"Unification Day";"Thu";"week 04"
"24.02.2019";"Dragobetele";"Sun";"week 08"
"01.03.2019";"Spring festival";"Fri";"week 09"
"08.03.2019";"International Women's Day";"Fri";"week 10"
"31.03.2019";"DST start";"Sun";"week 13"
"26.04.2019";"Orthodox Good Friday";"Fri";"week 17"
"28.04.2019";"Orthodox Easter";"Sun";"week 17"
"29.04.2019";"Orthodox Easter Monday";"Mon";"week 18"
"01.05.2019";"Labour Day";"Wed";"week 18"
"09.05.2019";"Europe Day";"Thu";"week 19"
"10.05.2019";"Independece Day Romania";"Fri";"week 19"
"01.06.2019";"Children Day";"Sat";"week 22"
"16.06.2019";"Orthodox Whitsun";"Sun";"week 24"
"17.06.2019";"Orthodox Whit Monday";"Mon";"week 25"
"15.08.2019";"Assumption Day";"Thu";"week 33"
"27.10.2019";"DST end";"Sun";"week 43"
"30.11.2019";"Saint Andrew's Day";"Sat";"week 48"
"01.12.2019";"First Advent";"Sun";"week 48"
"01.12.2019";"National Holiday Romania";"Sun";"week 48"
"08.12.2019";"Second Advent";"Sun";"week 49"
"15.12.2019";"Third Advent";"Sun";"week 50"
"22.12.2019";"Fourth Advent";"Sun";"week 51"
"25.12.2019";"Christmas";"Wed";"week 52"
"26.12.2019";"Second Day of Christmas";"Thu";"week 52"
"31.12.2019";"New Year큦 Eve";"Tue";"week 01"
"01.01.2020";"New Year큦 Day";"Wed";"week 01"
"02.01.2020";"New Year큦 Day";"Thu";"week 01"
"24.01.2020";"Unification Day";"Fri";"week 04"
"24.02.2020";"Dragobetele";"Mon";"week 09"
"01.03.2020";"Spring festival";"Sun";"week 09"
"08.03.2020";"International Women's Day";"Sun";"week 10"
"29.03.2020";"DST start";"Sun";"week 13"
"17.04.2020";"Orthodox Good Friday";"Fri";"week 16"
"19.04.2020";"Orthodox Easter";"Sun";"week 16"
"20.04.2020";"Orthodox Easter Monday";"Mon";"week 17"
"01.05.2020";"Labour Day";"Fri";"week 18"
"09.05.2020";"Europe Day";"Sat";"week 19"
"10.05.2020";"Independece Day Romania";"Sun";"week 19"
"01.06.2020";"Children Day";"Mon";"week 23"
"07.06.2020";"Orthodox Whitsun";"Sun";"week 23"
"08.06.2020";"Orthodox Whit Monday";"Mon";"week 24"
"15.08.2020";"Assumption Day";"Sat";"week 33"
"25.10.2020";"DST end";"Sun";"week 43"
"29.11.2020";"First Advent";"Sun";"week 48"
"30.11.2020";"Saint Andrew's Day";"Mon";"week 49"
"01.12.2020";"National Holiday Romania";"Tue";"week 49"
"06.12.2020";"Second Advent";"Sun";"week 49"
"13.12.2020";"Third Advent";"Sun";"week 50"
"20.12.2020";"Fourth Advent";"Sun";"week 51"
"25.12.2020";"Christmas";"Fri";"week 52"
"26.12.2020";"Second Day of Christmas";"Sat";"week 52"
"31.12.2020";"New Year큦 Eve";"Thu";"week 53"
"01.01.2021";"New Year큦 Day";"Fri";"week 53"
"02.01.2021";"New Year큦 Day";"Sat";"week 53"
"24.01.2021";"Unification Day";"Sun";"week 03"
"24.02.2021";"Dragobetele";"Wed";"week 08"
"01.03.2021";"Spring festival";"Mon";"week 09"
"08.03.2021";"International Women's Day";"Mon";"week 10"
"28.03.2021";"DST start";"Sun";"week 12"
"30.04.2021";"Orthodox Good Friday";"Fri";"week 17"
"01.05.2021";"Labour Day";"Sat";"week 17"
"02.05.2021";"Orthodox Easter";"Sun";"week 17"
"03.05.2021";"Orthodox Easter Monday";"Mon";"week 18"
"09.05.2021";"Europe Day";"Sun";"week 18"
"10.05.2021";"Independece Day Romania";"Mon";"week 19"
"01.06.2021";"Children Day";"Tue";"week 22"
"20.06.2021";"Orthodox Whitsun";"Sun";"week 24"
"21.06.2021";"Orthodox Whit Monday";"Mon";"week 25"
"15.08.2021";"Assumption Day";"Sun";"week 32"
"31.10.2021";"DST end";"Sun";"week 43"
"28.11.2021";"First Advent";"Sun";"week 47"
"30.11.2021";"Saint Andrew's Day";"Tue";"week 48"
"01.12.2021";"National Holiday Romania";"Wed";"week 48"
"05.12.2021";"Second Advent";"Sun";"week 48"
"12.12.2021";"Third Advent";"Sun";"week 49"
"19.12.2021";"Fourth Advent";"Sun";"week 50"
"25.12.2021";"Christmas";"Sat";"week 51"
"26.12.2021";"Second Day of Christmas";"Sun";"week 51"
"31.12.2021";"New Year큦 Eve";"Fri";"week 52"
